Designator,Mid X,Mid Y,Rotation,Layer
C1,38.0,35.4,90.0,top
C15,41.55,33.9875,90.0,top
C16,38.2,31.6,270.0,top
C17,43.25,34.0,90.0,top
C18,40.4,35.42,90.0,top
C19,39.2,35.4,90.0,top
C6,38.5,41.4,0.0,top
D1,39.8,37.8,180.0,top
D2,42.65,40.0,90.0,top
D3,43.5,41.8,270.0,top
D4,42.65,41.8,90.0,top
J1,45.555,35.0,270.0,top
L1,41.5,29.8,0.0,top
Q1,40.6,40.4,0.0,top
R1,43.5,40.0,90.0,top
R2,41.3,42.3,0.0,top
R3,39.2,42.3,180.0,top
R5,39.8,35.4,270.0,top
R6,38.6,35.38,270.0,top
R8,38.3,34.4,180.0,top
U1,39.7,33.6125,0.0,top
U4,29.83,35.0,90.0,top
